username,date,tweet,link
yenisur42_,2022-12-03,"Presiden Jokowi dalam beberapa kesempatan, baik secara implisit maupun eksplisit memberikan dukungan kepada Menteri Pertahanan, Prabowo Subianto pada Pemilihan Umum atau Pemilu 2024. Mending Prabowo  https://t.co/Lw6EUeIgPM dekade08",https://twitter.com/YeniSur42_/status/1598976875220840448
wahyuoben,2022-12-03,@kompascom Setelah Pemilu.. tinggalkan 😁,https://twitter.com/wahyuOBEN/status/1598976323602743296
ikhsanrsw,2022-12-03,@mardigu024 Makan nasi dicampur ketela Tak tahu lagi lauknya apa Pemilu wujud pesta demokrasi bangsa Ternodai denga janji-janji manis belaka hahaha...,https://twitter.com/IkhsanRsw/status/1598976314270437376
bisniscom,2022-12-03,"Pengamat Minta Pemilu 2024 Jadi Pesta Rakyat, Ini Alasannya  https://t.co/VWXnjYSjlm",https://twitter.com/Bisniscom/status/1598976224151638016
bawaslu_jabar,2022-12-03,Selamat hari disabilitas Internasional. Mari wujudkan pemilu 2024 dengan ramah disabiltas.  #awasipemilu #pemiku2024 #bersamamengawasi  https://t.co/9UpZekrIUs,https://twitter.com/Bawaslu_Jabar/status/1598976097097756672
widisaja89,2022-12-03,"Presiden Jokowi menghadiri Rapat Konsolidasi Nasional Kesiapan Pelaksanaan Pemilu Serentak Th 2024, yg digelar di Ancol Beach City, Jakarta. Presiden memaparkan 5 arahan yg penting dilakukan oleh jajaran KPU menjelang pesta demokrasi terbesar &amp; serentak pada tahun 2024 mendatang.  https://t.co/sVsJwKaN27",https://twitter.com/widisaja89/status/1598975935998754817
panwascamtansa,2022-12-03,Difabel Memiliki Hak Yang Sama Dalam Pemilu dan Demokrasi.  #pemilu2024 #bawaslu  #bawaslujabar  #bawaslukotabogor  #bawasluri  #haridisabilitasinternasional @ Tanah Sareal - Bogor  https://t.co/Kn646dUmVK,https://twitter.com/PanwascamTansa/status/1598975832579624960
kpubanjarnegara,2022-12-03,"Coba cek ini deh, Twibbonize MASKOT PEMILU TAHUN 2024 melalui link  https://t.co/2h64pruOLi.  Tolong forward ke grup dan teman-temanmu ya. Terima kasih!",https://twitter.com/KpuBanjarnegara/status/1598975640082190337
bawaslusiak,2022-12-03,"[Repost Bawaslu RI]  #SahabatBawaslu, belajar lagi tentang kepemiluan bareng Awasmin, yuk! 😊  Kali ini kita belajar tentang ‘Pelanggaran Pemilu’. Apa sih yang dimaksud dengan pelanggaran pemilu? Apa saja jenis pelanggaran? 🤔  Geser ke kanan untuk mengetahuinya.  https://t.co/aCnvmgL9Mc",https://twitter.com/BawasluSiak/status/1598975474784698369
yenisur42_,2022-12-03,"Menteri Pertahanan (Menhan), Prabowo Subianto, terus mendapat banyak dukungan pada Pemilihan Umum (Pemilu) 2024. Mending Prabowo  https://t.co/rTXUSxTPo7 dekade08",https://twitter.com/YeniSur42_/status/1598975364008620032
